Account,date,daily_pnl,trade_count,avg_trade_size,win_count,loss_count,long_count,short_count,win_rate,long_short_ratio,classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,462,14810.891818181817,12,127,139,323,0.025974025974025976,0.43209876543209874,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,3356,16345.241939809297,1361,232,1572,1784,0.40554231227651966,0.8812324929971989,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093,320,2492.74990625,170,0,145,175,0.53125,0.8295454545454546,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,3533,1693.3516841211435,1537,390,1528,2005,0.43504104160769885,0.7622133599202393,Fear
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,5,6070.2,0,2,2,3,0.0,0.75,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,5,31941.660000000003,4,0,3,2,0.8,1.3333333333333333,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,1136,10836.90096830986,489,48,506,630,0.43045774647887325,0.803486529318542,Fear
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,6472,483.5901143386898,2872,590,3086,3386,0.4437577255871446,0.9114260407440212,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,6794,533.2378127759788,2940,338,3606,3188,0.4327347659699735,1.1310755722797114,Fear
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,763,2941.8256880733943,362,96,305,458,0.4744429882044561,0.6666666666666666,Greed
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-19,116412.254606,2471,3205.0006313233507,1319,280,872,1599,0.5337919870497774,0.545625,Fear
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0,3,159.0,0,0,3,0,0.0,4.0,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0,2,23066.935,0,0,2,0,0.0,3.0,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614,27,3048.5944444444444,9,13,4,23,0.3333333333333333,0.20833333333333334,Extreme Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798,80,767.24775,8,13,35,45,0.1,0.782608695652174,Neutral
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011,156,2583.170064102564,73,3,64,92,0.46794871794871795,0.6989247311827957,Greed
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677107999996,349,1648.5575358166188,92,162,66,283,0.2636103151862464,0.23591549295774647,Fear
0x39cef799f8b69da1995852eea189df24eb5cae3c,2024-10-27,34983.381862,144,4554.800138888889,76,1,59,85,0.5277777777777778,0.6976744186046512,Greed
0x39cef799f8b69da1995852eea189df24eb5cae3c,2025-02-19,-20526.462526000003,3445,4800.430827285922,1100,590,1589,1856,0.3193033381712627,0.8562197092084006,Fear
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-10-27,7612.618288,191,2786.4265445026176,79,0,112,79,0.41361256544502617,1.4125,Greed
