classification,daily_pnl_mean,daily_pnl_median,daily_pnl_std,win_rate_mean,win_rate_median,win_rate_std,trade_count_mean,trade_count_median,trade_count_std
Extreme Greed,35393.0983548,0.0,85325.49990240615,0.3366088629719345,0.30684931506849317,0.3023666583438036,1392.4,730.0,1545.7151419326915
Fear,209372.66220543752,81389.6825155,380423.90686389175,0.4158784540695092,0.3939621144568476,0.13696677725127457,4183.46875,2763.5,5730.675437218013
Greed,99675.5167305,35988.3764365,282694.28552609455,0.37407443523093875,0.41259896564934234,0.27718511333173806,1134.03125,275.0,2139.8096159565976
Neutral,19842.79725975,-0.4186399999999999,57227.787894724344,0.26068321950310835,0.18832420369243252,0.30706232140514556,892.625,164.5,1342.959305574287
