Account,total_pnl,avg_trade_size,total_trades,avg_win_rate,days_active,risk_segment,freq_segment,winner_segment,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,15578.066878995556,3818,0.21575816912527282,2,Large Sizes,Frequent,Other,3.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,37706.173148,2093.0507951855716,3853,0.4831455208038494,2,Small Sizes,Frequent,Other,0.0
0x271b280974205ca63b716753467d5a371de622ab,31763.088431,16282.920322769955,1146,0.4101525821596244,3,Large Sizes,Frequent,Other,3.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132315.481685,508.4139635573343,13266,0.4382462457785591,2,Small Sizes,Frequent,Other,0.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,168627.984054,3073.4131596983725,3234,0.5041174876271167,2,Small Sizes,Frequent,Consistent Winner,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-27704.56743899999,5212.250799060605,617,0.19414872774471628,6,Large Sizes,Frequent,Other,2.0
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999999,4677.615483087406,3589,0.4235405579745203,2,Large Sizes,Frequent,Other,0.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,3562.32316586833,332,0.48694812669414433,2,Large Sizes,Frequent,Other,0.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.59273200002,5522.192161395349,383,0.23009302325581393,2,Large Sizes,Frequent,Other,2.0
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,3111.6620970235913,1051,0.5795973900106022,4,Small Sizes,Frequent,Consistent Winner,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,101965.643134,518.0945601985864,8340,0.3518527444550567,2,Small Sizes,Frequent,Other,2.0
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,674403.995032,8721.255130770734,4134,0.45342799559104363,2,Large Sizes,Frequent,Other,3.0
0x4f93fead39b70a1824f981a54d4e55b278e9f760,301287.891529,14130.896722149999,7479,0.33960062168627064,4,Large Sizes,Frequent,Other,3.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,403501.648209,15783.011971052674,6000,0.2078068201488662,2,Large Sizes,Frequent,Other,3.0
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108518.614902,708.2712132167833,822,0.6346153846153846,2,Small Sizes,Frequent,Consistent Winner,0.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,425815.195065,12204.60859426125,1134,0.4773828241193218,2,Large Sizes,Frequent,Other,3.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,393683.014159,2214.3003479174768,1358,0.21240287616186415,2,Small Sizes,Frequent,Other,2.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,361576.6227,2024.855107183806,8948,0.6525427199077096,4,Small Sizes,Frequent,Consistent Winner,0.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,3643.361287001287,1554,0.4510939510939511,1,Large Sizes,Infrequent,Other,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,2291.4922229493895,3071,0.14381544502617802,2,Small Sizes,Frequent,Other,2.0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64521.887634,3693.4206066304932,1856,0.18860730875159287,2,Large Sizes,Frequent,Other,2.0
0x8477e447846c758f5a675856001ea72298fd9cb5,77110.57877200001,935.8498685293911,11216,0.31904297150736477,3,Small Sizes,Frequent,Other,2.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,109197.778134,3183.173862887803,2804,0.23317573310667233,2,Small Sizes,Frequent,Other,2.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,89495.52289600001,1397.0147898539399,13485,0.3693499526052079,2,Small Sizes,Frequent,Other,2.0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,3460.7354680222347,417,0.4773045688426012,3,Small Sizes,Frequent,Other,0.0
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,29677.264671,3230.1484251012143,372,0.4109311740890689,2,Small Sizes,Frequent,Other,0.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753000002,5151.995371428571,534,0.27301587301587305,2,Large Sizes,Frequent,Other,2.0
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2040922.4260490001,5106.900183817335,14410,0.33240635480576364,5,Large Sizes,Frequent,Other,1.0
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,22504.555828854896,4838,0.4386109962794543,1,Large Sizes,Infrequent,Other,3.0
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,3210.7751864086836,21190,0.46753185464841907,1,Small Sizes,Infrequent,Other,1.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,337113.657216,5414.876755980059,2478,0.26289390636195936,2,Large Sizes,Frequent,Other,2.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,811182.978768,2124.0605654260357,36534,0.47706197670905004,2,Small Sizes,Frequent,Other,1.0
